Paper_ID;Source;Author;Title;Journal;Year_publication;doi;Geography;Country;Other_Geography;Latitude;Longitude;Study_type;Corresponding_emailed;Answer;Answer_positive;Notes;Compiler
CC_0439;WOS;Herrera-Pantoja M. & Hiscock K. M.;The Effects Of Climate Change On Potential Groundwater Recharge In Great Britain;Hydrological processes;2008;https://doi.org/10.1002/hyp.6620;Palearctic;UK;England;51,52;-0,38;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0441;WOS;Lin M. et al.;Spatio-Temporal Dynamics Of Groundwater Storage Changes In The Yellow River Basin;Journal of environmental management;2019;https://doi.org/10.1016/j.jenvman.2019.01.016;Palearctic;China;Yellow River Basin;36,52;116,60;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0442;WOS;Wang X.;The Characteristic And Influence Factors Of Extinction Depth Of Shallow Groundwater On The High-Latitude Region: A Case Study On The Sanjiang Plain, Northeast China;Environmental science and pollution research;2017;https://doi.org/10.1007/s11356-017-0983-1;Palearctic;China;Sanjiang Plain;46,88;127,52;Field;no;Not applicable;Not applicable;-;Elena Piano
CC_0457;WOS;Radfar M. et al.;Drought Impacts On Long-Term Hydrodynamic Behavior Of Groundwater In The Tertiary–Quaternary Aquifer System Of Shahrekord Plain, Iran;Environmental earth sciences;2013;https://doi.org/10.1007/s12665-012-2182-1;Palearctic;Iran;Shahrekord Plain;32,33;50,83;Field;no;Not applicable;Not applicable;-;Elena Piano
CC_0462;WOS;Westhoff J.T. & Paukert C.P.;Climate Change Simulations Predict Altered Biotic Response In A Thermally Heterogeneous Stream System;Plosone;2014;https://doi.org/10.1371/journal.pone.0111438;Nearctic;US;Southern Missouri;37,01;-93,30;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0469;WOS;Chang S. et al.;Evaluation Of Impacts Of Future Climate Change And Water Use Scenarios On Regional Hydrology;Hydrology and earth system sciences;2018;https://doi.org/10.5194/hess-22-4793-2018;Nearctic;US;Tampa region, Florida;27,99;-82,59;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0475;WOS;Mackay J. D. et al.;Proglacial Groundwater Storage Dynamics Under Climate Change And Glacier Retreat;Hydrological processes;2020;https://doi.org/10.1002/hyp.13961;Palearctic;Iceland;Virkisá River basin;64,26;-18,13;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0488;WOS;Burns E. R. et al.;Thermal Effect Of Climate Change On Groundwater-Fed Ecosystems;Water resource research;2017;https://doi.org/10.1002/2016WR020007;Nearctic;US;Medicine lake, California;41,58;-121,61;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0492;WOS;Bilal H. et al.;Investigation Of Groundwater Depletion In The State Of Qatar And Its Implication To Energy Water And Food Nexus;Water;2021;https://doi.org/10.3390/ w13182464;Palearctic;Qatar;Qatar;25,34;50,10;Modelling;no;Not applicable;Not applicable;-;Elena Piano
CC_0507;WOS;Keller NS et al.;Monitoring Of The Effects Of A Temporally Limited Heat Stress On Microbial Communities In A Shallow Aquifer;Environmental sciences & ecology;2021;https://doi.org/10.1016/j.scitotenv.2021.146377;Palearctic;Germany;Brandenburg;52,40;12,53;Laboratory;no;Not applicable;Not applicable;-;Melissa Meierhofer
CC_0585;WOS;Young B.A. et al.;Is The Hyporheic Zone A Refuge For Macroinvertebrates In Drying Perennial Streams?;Marine and freshwater research;2011;https://doi.org/10.1071/MF11060;Australian;Australia;Canberra;-35,01;148,01;Field;no;Not applicable;Not applicable;-;Melissa Meierhofer
CC_0586;WOS;Wood P.J. et al.;Is The Hyporheic Zone A Refugium For Aquatic Macroinvertebrates During Severe Low Flow Conditions?;Fundamental and applied limnology / archiv für hydrobiologie;2010;http://dx.doi.org/10.1127/1863-9135/2010/0176-0377;Nearctic;US;Kent;51,30;1,20;Field;no;Not applicable;Not applicable;-;Melissa Meierhofer
Reference_1;Reference list;Raschmanová N. et al.;Testing The Climatic Variability Hypothesis In Edaphic And Subterranean Collembola (Hexapoda);Journal of thermal biology;2018;https://doi.org/10.1016/j.jtherbio.2018.11.004;Palearctic;Slovakia;Western Carpathian;48,51;20,41;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
Reference_2;Reference list;Issartel J. T al.;Behavioural, ventilatory and respiratory responses of epigean and hypogean crustaceans to different temperatures;Comparative biochemistry and physiology. Part A, Molecular & integrative physiology;2005;https:// 10.1016/j.cbpb.2005.02.013;Palearctic;France;-;46,00;5,16;Laboratory;yes;no;Not applicable;-;Tiziana Di Lorenzo
Reference_3;Reference list;Avramov M. et al.;Catecholamine levels in groundwater and stream amphipods and their response to temperature stress;General and Comparative Endocrinology;2013;https://doi.org/10.1016/j.ygcen.2013.09.004;Palearctic;Germany ;Helmholtz Zentrum München;48,13;11,55;Laboratory;yes;no;Not applicable;-;Tiziana Di Lorenzo
Test_00001;Trial;Gilbert H. et al.;Response Of Shallow Subterranean Freshwater Amphipods To Habitat Drying ;Subterranean biology;2018;https://doi.org/10.3897/subtbiol.28.30700;Nearctic;US;District of Columbia;38,94;-77,01;Laboratory;no;Not applicable;Not applicable;-;Stefano Mammola
Test_00003;Trial;Jones K. et al.;The Critical Thermal Maximum Of Diving Beetles (Coleoptera: Dytiscidae): A Comparison Of Subterranean And Surface-Dwelling Species;Current research in insect science;2021;https://doi.org/10.1016/j.cris.2021.100019;Australian;Australia;Western Australia;-25,17;121,59;Laboratory;yes;yes;yes;-;Stefano Mammola
Test_00005;Trial;Mammola S. et al.;Seasonal Dynamics And Micro-Climatic Preference Of Two Alpine Endemic Hypogean Beetles;International journal of speleology;2015;http://dx.doi.org/10.5038/1827-806X.44.3.3;Palearctic;Italy;Grotta di Pugnetto;45,29;7,39;Modelling;no;Not applicable;Not applicable;-;Stefano Mammola
Test_00006;Trial;Ferencz B. et al.;Alteration Of Yield And Springs Number As An Indicator Of Climate Changes. Case Study Of Eastern Poland;Ecological indicators;2022;https://doi.org/10.1016/j.ecolind.2022.108798;Palearctic;Poland;Roztocze Region;50,36;23,14;Field;no;Not applicable;Not applicable;-;Stefano Mammola
Test_00008;Trial;Zhang Z. et al.;Future Climate Change Will Severely Reduce Habitat Suitability Of The Critically Endangered Chinese Giant Salamander;Freshwater biology;2020;https://doi.org/10.1007/s12192-0010.1111/fwb.13483;Palearctic;China;Several;27,60;108,80;Modelling;yes;yes;yes;-;Stefano Mammola
Test_00009;Trial;Grimaudo A.T. et al.;Host Traits And Environment Interact To Determine Persistence Of Bat Populations Impacted By White-Nose Syndrome;Ecology letters;2021;https://doi.org/10.1111/ele.13942;Nearctic;US;New York;40,77;-74,49;Multiple;no;Not applicable;Not applicable;Hibernacula inferred to be caves/cavities from Figure S8;Stefano Mammola
Reference_4;Reference list;Simčič T. & Sket B.;Ecophysiological responses of two closely related epigean and hypogean Niphargus species to hypoxia and increased temperature: Do they differ?;International Journal of Speleology;2021;https://doi.org/10.5038/1827-806X.50.2.2369;Palearctic;Slovenia;NE of Postojna, cave Unška koliševka at Planina;45,83;14,22;Laboratory;no;Not applicable;Not applicable;-;Tiziana Di Lorenzo
Test_00010;Reference list;Turner GC et al.;Cooling of bat hibernacula to mitigate white-nose syndrome;Conservation biology;2022; https://doi.org/10.1111/cobi.13803;Nearctic;US;Pennsylvania;41,28;-77,83;Field;no;Not applicable;Not applicable;-;Melissa Meierhofer
Alert_00010;WOS_alert;Apostolopoulos AS & Philips KP;Consequences of the global climate crisis on the cave beetle Darlingtonea Kentuckensis Valentine based on thermal tolerance and dehydration resistance;Journal of Cave and Karst Studies;2022;http://dx.doi.org/10.4311/2021LSC0132;Nearctic;US;Wind Cave, Pulaski County, Kentucky;37,05;-84,52;Laboratory;no;Not applicable;Not applicable;-;Stefano Mammola
